"","ID","gender","attitude","speaker","item","meanf0","articulationRate","f0Span","N.x","H1_H2","N.y","meanIntensity","N"
"105","F13_2_Def","F","Def","F13",2,253.275,4.739336492891,120.49,8,6.66247183125,8,58.459375,8
"106","F13_2_Non","F","Non","F13",2,241.6,6.66666666666667,96.8349999999999,8,5.391955976625,8,59.088,8
"107","F13_3_Def","F","Def","F13",3,264.544444444444,4.62487153134635,69.2199999999999,9,13.7662566027778,9,57.7752222222222,9
"108","F13_3_Non","F","Non","F13",3,262.655555555556,6.09756097560976,105.355,9,6.92377861633333,9,61.9585555555556,9
"109","F13_4_Def","F","Def","F13",4,236.46,5.26592943654555,131.105,10,5.2767738751,10,62.9191,10
"110","F13_4_Non","F","Non","F13",4,227.08,6.87757909215956,95.58,10,2.7598473794,10,66.1274,10
"111","F13_5_Def","F","Def","F13",5,282.411111111111,6,74.575,9,10.6854942263333,9,61.3813333333333,9
"112","F13_5_Non","F","Non","F13",5,262.444444444444,6.5934065934066,79.49,9,5.24322729144444,9,62.8812222222222,9
"113","F13_6_Def","F","Def","F13",6,243.109090909091,5.49725137431284,125.38,11,9.92644271583333,12,64.5759090909091,11
"114","F13_6_Non","F","Non","F13",6,248.7,7.02875399361022,117.475,11,7.36437855433333,12,67.2671818181818,11
"115","F13_7_Def","F","Def","F13",7,231.988888888889,6.12244897959184,139.075,9,6.66433071433333,9,61.9163333333333,9
"116","F13_7_Non","F","Non","F13",7,230.4625,6.41539695268645,128.225,8,4.63390037788889,9,67.5741111111111,9
"117","F13_8_Def","F","Def","F13",8,294.9,5.72363041700736,139.875,7,4.1464139785,8,63.826375,8
"118","F13_8_Non","F","Non","F13",8,256.2,8.39454354669465,111.98,8,5.28242776475,8,65.773875,8
"119","F13_9_Def","F","Def","F13",9,288.285714285714,6.06585788561525,140.335,7,-5.65568483771429,7,65.4176666666667,6
"120","F13_9_Non","F","Non","F13",9,260.428571428571,7.78642936596218,88.175,7,6.99708749714286,7,67.7845,6
"121","F2_1_Def","F","Def","F2",1,244.236363636364,6.087437742114,100.625,11,8.59657087508333,12,61.1109090909091,11
"122","F2_1_Non","F","Non","F2",1,255.136363636364,8.13008130081301,126.325,11,6.46131431766667,12,66.1938181818182,11
"123","F2_10_Def","F","Def","F2",10,242,5.12236767216847,69.925,9,4.273530517,9,60.0473333333333,9
"124","F2_10_Non","F","Non","F2",10,249.622222222222,6.27177700348432,74.7899999999999,9,4.00825268411111,9,63.0101111111111,9
"125","F2_2_Def","F","Def","F2",2,225.7375,5.67375886524823,56.595,8,12.671013448125,8,62.453375,8
"126","F2_2_Non","F","Non","F2",2,255.942857142857,6.46950092421442,100.64,7,7.6413239925,8,64.24075,8
"127","F2_3_Def","F","Def","F2",3,256.4,6.5028901734104,71.95,9,12.0317798835556,9,59.7016666666667,9
"128","F2_3_Non","F","Non","F2",3,252.755555555556,6.19408121128699,107.38,9,9.79664881022222,9,62.3263333333333,9
"129","F2_4_Def","F","Def","F2",4,236.64,5.98086124401914,69.805,10,9.3392428014,10,62.8409,10
"130","F2_4_Non","F","Non","F2",4,239.466666666667,6.33802816901408,129.25,9,5.4059274325,10,66.5996,10
"131","F2_5_Def","F","Def","F2",5,261,6.02006688963211,91.8899999999999,9,8.30634260166667,9,60.2135555555556,9
"132","F2_5_Non","F","Non","F2",5,266.677777777778,7.75193798449612,111.835,9,7.23100968944444,9,62.1402222222222,9
"133","F2_6_Def","F","Def","F2",6,242.290909090909,5.52763819095477,94.27,11,10.8791237095833,12,61.6819090909091,11
"134","F2_6_Non","F","Non","F2",6,241.872727272727,6.45161290322581,92.825,11,6.52190929641667,12,63.2903636363636,11
"135","F2_7_Def","F","Def","F2",7,243.377777777778,5.63204005006258,95.97,9,8.65977189911111,9,61.1971111111111,9
"136","F2_7_Non","F","Non","F2",7,240.4,6.76691729323308,126.26,9,5.20878949633333,9,63.0371111111111,9
"137","F2_8_Def","F","Def","F2",8,233.1,6.27450980392157,77.75,8,9.198591834375,8,59.403125,8
"138","F2_8_Non","F","Non","F2",8,254.225,7.73694390715667,112.15,8,6.02000369825,8,62.863625,8
"139","F2_9_Def","F","Def","F2",9,235.128571428571,5.93220338983051,80.7,7,10.9602372675714,7,62.4028333333333,6
"140","F2_9_Non","F","Non","F2",9,266.4,7.06713780918728,74.55,6,12.1943864117143,7,62.4893333333333,6
"141","F4_1_Def","F","Def","F4",1,220.236363636364,5.77124868835257,80.3599999999999,11,5.36914801316667,12,61.5796363636364,11
"142","F4_1_Non","F","Non","F4",1,225.227272727273,6.74846625766871,95.8899999999999,11,4.13429394491667,12,69.6137272727273,11
"143","F4_10_Def","F","Def","F4",10,234.966666666667,5.44794188861985,93.9499999999999,9,3.80174378233333,9,65.7622222222222,9
"144","F4_10_Non","F","Non","F4",10,214.922222222222,6.33356790992259,69.235,9,0.878828458888889,9,65.4111111111111,9
"145","F4_2_Def","F","Def","F4",2,238.075,5.6777856635912,100.995,8,4.155605203,8,65.440125,8
"146","F4_2_Non","F","Non","F4",2,208.928571428571,6.38686131386861,79.185,7,3.517209559,8,70.84375,8
"147","F4_3_Def","F","Def","F4",3,237.033333333333,6.33356790992259,75.5,9,10.1584068381111,9,61.3185555555556,9
"148","F4_3_Non","F","Non","F4",3,224.355555555556,6.48882480173035,104.295,9,5.92871220155556,9,68.9126666666667,9
"149","F4_4_Def","F","Def","F4",4,212.76,5.86510263929619,70.385,10,6.041186597,10,63.3422,10
"150","F4_4_Non","F","Non","F4",4,197.3,6.9060773480663,89.18,10,-2.732770777,10,69.9419,10
"151","F4_5_Def","F","Def","F4",5,239.333333333333,6.28930817610063,90.435,9,10.0269248952222,9,68.0987777777778,9
"152","F4_5_Non","F","Non","F4",5,223.088888888889,7.46887966804979,56.15,9,0.989349146666667,9,70.4387777777778,9
"153","F4_6_Def","F","Def","F4",6,219.845454545455,6.51272942569568,83.665,11,9.57336752166667,12,64.1653636363636,11
"154","F4_6_Non","F","Non","F4",6,218.990909090909,6.4327485380117,61.09,11,2.39369075491667,12,70.6842727272727,11
"155","F4_7_Def","F","Def","F4",7,217.222222222222,6.04026845637584,84.235,9,5.71113425366667,9,69.5443333333333,9
"156","F4_7_Non","F","Non","F4",7,202.066666666667,6.45161290322581,65.435,9,1.338285997,9,71.8152222222222,9
"157","F4_8_Def","F","Def","F4",8,232,6.08365019011407,86.78,8,8.592733848125,8,68.7755,8
"158","F4_8_Non","F","Non","F4",8,206.257142857143,7.29166666666667,53.605,7,1.68908685425,8,69.457,8
"159","F4_9_Def","F","Def","F4",9,234.4,5.34351145038168,104.74,7,6.56734195714286,7,69.5875,6
"160","F4_9_Non","F","Non","F4",9,221.757142857143,5.94732370433305,89.41,7,2.32475174614286,7,68.2505,6
"161","F5_1_Def","F","Def","F5",1,196.409090909091,5.97176981541802,78.595,11,4.25309349858333,12,59.762,11
"162","F5_1_Non","F","Non","F5",1,211.545454545455,7.69230769230769,81.84,11,2.00778505691667,12,65.1883636363636,11
"163","F5_10_Def","F","Def","F5",10,226.9,5.45124167171411,49.54,9,4.23366275622222,9,62.4696666666667,9
"164","F5_10_Non","F","Non","F5",10,229.233333333333,6.88599846977812,104.725,9,-0.608862842777778,9,65.9011111111111,9
"165","F5_2_Def","F","Def","F5",2,208.9625,5.51343900758098,82.115,8,0.264487856,8,62.866875,8
"166","F5_2_Non","F","Non","F5",2,219.2,6.22568093385214,86.585,8,0.520825653875,8,64.487125,8
"167","F5_3_Def","F","Def","F5",3,203.3,6.25434329395413,77.45,9,4.08885844722222,9,58.5216666666667,9
"168","F5_3_Non","F","Non","F5",3,215.288888888889,6.96055684454756,117.16,9,-0.855946849111111,9,65.5871111111111,9
"169","F5_4_Def","F","Def","F5",4,198.06,6.06796116504854,65.09,10,-1.6340392453,10,61.0981,10
"170","F5_4_Non","F","Non","F5",4,197.03,6.74308833445718,125.22,10,-2.3547760229,10,65.3155,10
"171","F5_5_Def","F","Def","F5",5,224.65,5.65371024734982,43.67,8,4.29146795588889,9,58.5492222222222,9
"172","F5_5_Non","F","Non","F5",5,241.8125,6.66666666666667,127.535,8,1.33349641066667,9,67.3655555555556,9
"173","F5_6_Def","F","Def","F5",6,209.445454545455,5.53041729512318,94.03,11,4.93054627141667,12,62.2711818181818,11
"174","F5_6_Non","F","Non","F5",6,222.127272727273,6.9052102950408,118.755,11,4.18883419083333,12,65.6365454545455,11
"175","F5_7_Def","F","Def","F5",7,214.9625,6.35930047694754,74.61,8,5.09266341933333,9,60.3635555555556,9
"176","F5_7_Non","F","Non","F5",7,224.8875,6.69456066945607,125.33,8,-0.236344237222222,9,64.9745555555556,9
"177","F5_8_Def","F","Def","F5",8,220.35,6.77966101694915,68.525,8,7.943668365125,8,59.3115,8
"178","F5_8_Non","F","Non","F5",8,255.342857142857,8.42358604091456,95.95,7,1.386424651125,8,67.923375,8
"179","F5_9_Def","F","Def","F5",9,239.133333333333,5.43478260869565,37.07,6,3.58539999257143,7,65.955,6
"180","F5_9_Non","F","Non","F5",9,238.314285714286,6.73076923076923,117.78,7,-0.0890108172857144,7,70.3416666666667,6
