Filename,Segment label,Beginning,End,H1-H2,H1-A1,H1-A2,H1-A3,H1-H2,H1-A1,H1-A2,H1-A3,H1-H2,H1-A1,H1-A2,H1-A3
F0_1_Def,t,0.036332052,0.125,2.247248507,11.09807304,21.00623979,20.55750137,11.40867387,1.450264361,35.76976517,47.40264624,15.66771237,34.03883121,40.38327234,39.13232025
F0_1_Def,u2,0.125,0.155,27.6656593,0,32.12905586,52.75535797,18.84943609,0,29.48278813,50.14256828,20.59424269,0,34.93697814,48.45091851
F0_1_Def,sh,0.155,0.255,14.96772845,34.20248,31.66548483,34.25046986,1.885468039,-13.41272929,-6.275759468,-1.360806347,5.713302446,-9.242517452,-1.379882488,9.63373952
F0_1_Def,u1,0.255,0.305,15.78763212,2.711272979,33.95927178,50.92891337,9.832565207,4.135449744,29.52634612,56.78356273,12.64422286,1.397209506,20.51774578,53.95504745
F0_1_Def,g,0.305,0.365,11.82973256,4.068802874,24.24217586,25.88817484,13.16590572,-0.406548037,22.95071428,18.75641844,1.285650078,0.912920216,-0.008836248,22.60147746
F0_1_Def,uan3,0.365,0.555,5.386578499,3.635773038,20.41158258,40.77953835,9.424696223,11.83191109,21.86316451,39.13572438,9.262569441,45.58171842,37.53724,53.47800739
F0_1_Def,l,0.555,0.645,9.779215902,19.99999787,41.36038415,57.85174971,2.027886622,2.027886622,36.83634445,31.21274024,2.693381606,2.693381606,35.69329784,31.01271292
F0_1_Def,i,0.645,0.685,1.342655339,1.342655339,35.85154838,39.16522794,6.278231133,8.492069531,36.04814978,34.61728517,17.86059134,18.00130449,30.87108789,33.02679779
F0_1_Def,h,0.685,0.815,22.61609513,18.7556373,22.74184998,31.65275032,6.086681677,-1.219407169,-3.335690361,10.65367087,17.17219689,11.73438018,13.50162603,33.62455637
F0_1_Def,ao3,0.815,0.845,8.733752993,10.48762967,18.00707183,40.55103978,9.521276712,13.2517507,19.3629431,39.83724638,10.96684967,10.80654485,31.05941678,44.05416181
F0_1_Def,x,0.845,0.945,22.70176081,0,36.53815363,42.82420858,14.83713719,5.64878684,1.838891467,0.805275352,6.861530431,5.64015172,8.06308434,13.05744659
F0_1_Def,iang4,0.945,1.005,10.15207282,10.15207282,25.50515812,33.42682727,9.692160479,13.69837313,32.90389558,38.31526551,9.658370857,18.06273318,24.68566611,44.54823503
F0_1_Def,m,1.005,1.105,12.99520305,7.68090951,40.81139797,62.24319307,13.09106909,10.97310832,51.77403084,61.83293499,12.73145724,16.8010829,37.76104128,49.48687394
F0_1_Def,ei2,1.105,1.185,11.57777669,16.97526107,32.313442,39.86683067,9.693213213,12.01409166,36.30545312,35.49289518,9.217859134,9.217859134,35.71722501,35.00373833
F0_1_Def,you,1.185,1.295,6.657523498,6.657523498,35.25311175,36.21782831,7.533037703,7.533037703,28.56968002,39.07536863,6.594924207,6.594924207,26.96295969,42.00961958
